Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage
D3 Technology,d3banking.com,D3 Technology delivers data driven financial services solutions with a set of capabilities that empower customers and provide banks and credit unions with cross-selling tools designed to meet the needs of their clients at various stages in life. The company's D3 Banking solution can be deployed on a single server or distributed across servers to support cloud-computing environments.,United States,General BaaS Platforms,8. Developer Platforms,2005,Nascent,"40,020,000",Undisclosed
Particeep,https://www.particeep.com/en,"Particeep offers banks, insurance companies, management companies and their distributors solutions to market their products online and simplify their API exposure to third-party distributors.",France,Data Aggregators,10. Other Financial Data,2013,Nascent,"2,600,000",Seed
Neosurance,https://www.neosurance.eu/,"Neosurance offers AI and machine learning powered solutions for insurance companies to enable the sale of instant micro policies. Through the Neosurance solution, the insurer can send the right insurance offer when the client needs it. A personalized notification is sent to the smartphone of the potential customer proposing to cover a specific event for a short period of time.",Italy,Product As A Service,5. Insurance,2016,Nascent,"2,340,000",Seed
Stratumn,https://www.stratumn.com/,"Stratumn helps developers build trustworthy applications enabled by Blockchain features. The company's goal is to automate the auditing process, eliminate errors and fraud and enable smart workflows, processes that are cryptographically written, executed and verified.",France,General BaaS Platforms,8. Developer Platforms,2015,Nascent,"10,000,000",Series A
Okra,okra.ng,"Okra develops a secure portal and process to exchange financial information back and forth between customers, applications, and banks.",Nigeria,General BaaS Platforms,8. Developer Platforms,2019,Nascent,"1,000,000",Seed
Starburst Labs,starburstlabs.com,"Starburst Labs creates, designs, develops, and operates a vertically aligned stack of vertical SaaS products that connect financial professionals with investing consumers. With a focus on simplicity and usability, its online products make use of modern design and development practices and reflect the growing consumerization of the financial enterprise.",United States,Product As A Service,4. Wealth Management,2013,Nascent,"11,900,000",Series A
Teller,teller.io,"Teller provides an API for bank accounts. It enables applications to connect with all of the user's bank accounts across institutions, providing one API to move money, make payments, view transactions, and more. Teller provides a suite of APIs allowing the user to not only build applications that can read data from bank accounts but also applications that perform write operations, e.g. making payments.",United Kingdom,Data Aggregators,10. Other Financial Data,2014,Nascent,"5,190,000",Seed
Baanx,baanx.com,"Baanx offers a mobile digital banking application, payments engine and cryptocurrency platform.",United Kingdom,General BaaS Platforms,8. Developer Platforms,2014,Nascent,"800,000",Seed
BlockCypher,https://www.blockcypher.com/,BlockCypher allows users to build block chain applications with its web APIs and callbacks and run them on the company's cloud-optimized platform.,United States,General BaaS Platforms,8. Developer Platforms,2013,Nascent,"3,920,000",Seed
Deserve,deserve.com,Deserve offers credit cards directly to nontraditional consumers with little credit history and uses machine learning and alternative data to assess creditworthiness.,United States,Product As A Service,3. Cards,2013,Emerging,"144,110,000",Series C
FormFree,formfree.com,"FormFree specializes in helping financial institutions (FIs) assess customers' ability to pay. The company collects, certifies, & analyzes financial data to help FIs save time and make better lending decisions. Its flagship product, AccountChek, is a fully automated verification of deposit (VOD) and asset solution.",United States,Data Aggregators,10. Other Financial Data,2008,Nascent,"2,280,000",Seed
LenderClose,lenderclose.com,LenderClose is a solution for credit unions and community banks. LenderClose brings everything lenders require under a single access point. The company's web-based applications allow loan officers and lending staff to run a streamlined lending cycle.,United States,Product As A Service,1. Lending,2015,Nascent,"2,000,000",Series B
Neocova,neocova.com,"Neocova offers an AI-based, API-driven platform designed specifically to support community banks and credit unions. Entirely cloud-based, its core platform manages customers, deposit accounts and loan products.",United States,General BaaS Platforms,8. Developer Platforms,2016,Nascent,"13,410,000",Series B
PayJoy,payjoy.com,PayJoy enables consumers with no bank accounts or formal credit history to purchase smartphones on installment payments and get cash loans. It does so by turning the smartphone into collateral through software that locks the phone when payments have not been made.,United States,Product As A Service,1. Lending,2015,Nascent,"74,630,000",Series B
Payrailz,payrailz.com,Payrailz is a digital payments company offering bill payment and money transfer solutions to banks and credit unions.,United States,Product As A Service,2. Payments Initiation,2016,Nascent,"25,030,000",Series B
Qualpay,https://www.qualpay.com/,"Qualpay is a payment solutions provider headquartered in San Mateo, California. Qualpay's multichannel, Cloud-based processing platform provides a combined merchant account with solutions that enable businesses to accept payments across all their sales channels. Qualpay continues to seek out and incorporate leading-edge technologies in order to provide its customers with the tools and services they need in today's rapidly changing marketplace.",United States,Product As A Service,2. Payments Initiation,2014,Nascent,"8,680,000",Series A
Rev Worldwide,https://www.revworldwide.com/,"Rev Worldwide has built a global payments network designed specifically to innovate cutting-edge, end-to-end payment solutions that bring financial empowerment to people everywhere. Rev's processing platform allows the company and its partners to achieve standardization and consistency worldwide while seamlessly adapting to local currencies, customs, languages and laws.",United States,Product As A Service,15. Payments Processing,2009,Emerging,"11,200,000",Series B
SavvyMoney,savvymoney.com,"SavvyMoney, fka DebtGoal (GoalSpring), helps consumers take control of their financial future with advice about their credit. The company does this by partnering with credit unions, financial institutions and digital banking providers to deliver solutions that help deepen their relationship with their members and customers.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2009,Emerging,"3,780,000",Series D
Sync1 Systems,sync1systems.com,Sync1 Systems builds advanced digital platforms for credit unions looking to optimize lending and grow memberships.,United States,Product As A Service,1. Lending,2016,Nascent,"4,680,000",Series A
Token,token.io,"Token provides TokenOS, an open banking platform which enables a global ecosystem of banks, customers and developers to initiate payments and move money and information securely, instantly, worldwide.",United States,Data Aggregators,9. Open Banking,2015,Nascent,"35,680,000",Series A
Zero Financial,zero.app,"Zero Financial mobile app displays deposits, purchases, and transfers in one place with a real-time net balance in their afiliated Zero Checking account, giving users a number to spend from and track.",United States,Product As A Service,3. Cards,2016,Nascent,"136,680,000",Series A
LoanStreet,https://www.loan-street.com/,"LoanStreet creates a marketplace to enable the efficient syndication of any sized loan. LoanStreet's marketplace automates and standardizes syndication from origination to maturity enabling lenders and investors to buy, sell and manage loans directly on LoanStreet. As a result, there is no wasted time or management resources negotiating individual syndication agreements.",United States,Product As A Service,1. Lending,2013,Nascent,"12,930,000",Series A
Visible Capital,visiblecapital.io,"Visible Capital develops technology that helps clients of intermediaries, such as wealth managers, pension providers, and IFAs, provide their advisers with controlled access to their financial data. Visible Capital uses PSD2/open banking data to automate the collection of information required to onboard customers in the wealth sector.",United Kingdom,Product As A Service,4. Wealth Management,2018,Nascent,"660,000",Seed
Harvest Savings & Wealth Technologies,harvestsw.com,"Harvest Savings & Wealth Technologies provides integrated, enterprise-grade digital savings and wealth solutions to banks, credit unions, trust companies, and other financial institutions.",United States,Product As A Service,4. Wealth Management,2014,Nascent,"44,370,000",Series B
Payhawk,payhawk.io,Payhawk issues company cards and helps companies to manage their expenses.,United Kingdom,General BaaS Platforms,8. Developer Platforms,2018,Nascent,"4,500,000",Seed
Payveris,payveris.com,"Payveris creates the MoveMoney Platform, an open API cloud-based platform enabling FIs to control, simplify and extend digital money movement capabilities to any application/device while lowering user experience friction, significantly reducing operating costs and future-proofing the IT investment.",United States,General BaaS Platforms,8. Developer Platforms,2012,Emerging,"25,310,000",Series C
Edukate,https://www.edukate.com/,Edukate connects retirement plan participants to online financial education. Empowering them to make better financial choices while delivering insightful data to employers and retirement plan administrators helping them make more impactful decisions.,United States,Product As A Service,6. Other As A Service,2013,Nascent,"560,000",Undisclosed
Constellation Digital Partners,constellation.coop,Constellation Digital Partners is a cloud-based suite of digital financial services dedicated solely to credit unions.,United States,General BaaS Platforms,8. Developer Platforms,2017,Nascent,"10,500,000",Series A
HUBUC,hubuc.com,"HUBUC offers a quick, reliable, scalable, and easy way to offer financial services to customers. The HUBUC platform has two banking partners in the United Kingdom and France that provide banking services and the depository of accounts. Under its licenses, HUBUC can operate throughout the European Union, while it is regulated by the Central Bank of UK (FCA) and the Central Bank of France (ACPR).",Spain,Product As A Service,3. Cards,2018,Nascent,"400,000",Seed
B-North,b-north.co.uk,"B-North seeks to partner with global fintech professionals to deliver personal service, transform the lending experience, both for UK businesses and for commercial finance intermediaries.",United Kingdom,Product As A Service,1. Lending,2018,Nascent,"4,260,000",Seed
Paratic,paratic.com.tr,Paratic is a banking application that integrates with banks and any accounting program.,Turkey,General BaaS Platforms,8. Developer Platforms,2016,Nascent,"310,000",Seed
BlockApps,https://blockapps.net/,"BlockApps offers an enterprise blockchain platform specializing in Ethereum technology. BlockApps STRATO is a scalable Ethereum-compliant platform for development, deployment and management of enterprise blockchain applications. The platform allows businesses to develop early proof-of-concepts and can scale to full production systems.",United States,General BaaS Platforms,8. Developer Platforms,2015,Nascent,"6,450,000",Series A
Noah,noah.co,"Noah is a modern finance company helping homeowners tap into their home value to meet their financial goals without incurring new monthly payments or interest. Noah’s equity sharing model is a debt-free alternative to traditional home equity loans and HELOCs. By partnering with homeowners, Noah offers homeowners in select metro areas across the United States a one-time cash payment in exchange for a share in a percentage of their home’s future appreciation or depreciation.",United States,Product As A Service,1. Lending,2016,Emerging,"156,370,000",Series D
OnCorps,oncorps.io,"OnCorps is an Adaptive Decision Analytics company that intelligently engages users and nudges them to make better decisions. The OnCorps platform adapts to each user's performance and decision style by applying a unique combination of behavioral science, machine learning and Sabermetrics, allowing users to see real-time diagnostics while building a personal decision diary.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2011,Emerging,"8,410,000",Series A
Q2,https://www.q2.com/,"Q2 (NYSE: QTWO) is a secure, cloud-based digital banking solutions company. The company seeks to build stronger communities by strengthening financial institutions. The company's digital banking solutions for deposits, money movement, lending, leasing, security and fraud enable financial institutions deliver a better financial experience to their account holders. Its bank and credit union customers, along with emerging financial services providers, also benefit from data analytics and access to open technology tools.",United States,General BaaS Platforms,8. Developer Platforms,2004,Mature,"40,250,000",Public
Rippleshot,rippleshot.com,"Rippleshot provides issuers, merchants and processors with a cloud-based technology platform to detect fraud through machine learning and data analytics. The company's technology processes millions of payment card transactions in real-time to proactively pinpoint when and where a breach of card data occurred. Following detection, the platform then identifies which cards are most at risk of seeing fraudulent activity, and suggests appropriate mitigation strategies to best prevent fraud loss.",United States,Product As A Service,3. Cards,2014,Nascent,"5,710,000",Series A
FinMkt,https://finmkt.io/,"FinMkt is a provider of technology and market data solutions to the crowdfunded securities and peer lending industry. The company operates a centralized hub for real-time market data aggregated from platforms across the globe. FinMkt owns and operates NowStreetWire.com, CrowdWatch.co and is a co-producer of the peer-lending conference, LendIt.",United States,Product As A Service,1. Lending,2011,Emerging,"12,370,000",Series B
BitGo,https://www.bitgo.com/,"BitGo is a security-as-a-service provider for Bitcoin and digital currency. BitGo offers a multi-signature wallet to keep Bitcoin secure from theft and loss and provides a suite of services for Bitcoin portfolio management, corporate treasury, and enterprise enablement.",United States,Product As A Service,6. Other As A Service,2013,Emerging,"85,720,000",Undisclosed
ForwardLane,forwardlane.com,"ForwardLane provides an AI API platform for wealth managers, asset managers and commercial banks. The company's Insights Engine provides Personalized Insights for financial services professionals and their clients with unique reasoning.",United States,Product As A Service,4. Wealth Management,2015,Nascent,"8,950,000",Series A
Dapi,http://dapi.co/,App-based wallet for individuals & businesses. It enables individuals to transfer money from existing bank accounts. It also enables businesses to accept payments via bank transfers. It offers prepaid cards for online/offline purchases.,United States,Data Aggregators,9. Open Banking,2019,Nascent,"150,000",Seed
Decentro,decentro.tech,Decentro enables financial integrations and modular products through its online platform.,Singapore,Data Aggregators,9. Open Banking,2020,Nascent,"130,000",Seed
Finantier,finantier.co,"Finantier is an Indonesia-based fintech startup that provides a platform that can collect datasets from various banks and financial companies, enrich the data, and pass them to other companies through an application programming interface (API), a software intermediary that allows two applications to talk to each other.",Indonesia,Data Aggregators,9. Open Banking,2020,Nascent,"130,000",Seed
Onward Financial,https://onward.org/,"Onward Financial helps low-to-moderate income workers build financial cushions through a mobile app, saving effortlessly directly from their paychecks and building financial literacy.",United States,Product As A Service,6. Other As A Service,2016,Nascent,"230,000",Seed
FINQware,finqware.com,FINQware develops technologies and products for open banking.,Romania,Data Aggregators,9. Open Banking,2017,Nascent,"310,000",Seed
eWise,https://www.ewise.com/,"eWise is an international provider of Financial Data Aggregation API and Money Management solutions. eWise invented client-side account aggregation, a unique way for users to privately and securely aggregate, store, manage and share their personal financial information.",Switzerland,Data Aggregators,10. Other Financial Data,2000,Emerging,"26,180,000",Series B
Gremlin Social,gremlinsocial.com,"Gremlin Social is an integrated social media solution for financial services companies. Gremlin Social offers organizational tools to streamline social media marketing campaigns for individuals and groups. Gremlin Social helps users save time and money with Twitter, Facebook, and LinkedIn content management, plus analytics - in one central dashboard.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2009,Nascent,"80,000",Seed
Manigo,manigo.com,"Manigo is a digital money platform that connects consumers, businesses, and merchants. Manigo enables consumers to make payments, businesses to track expenses, and merchants to receive payments.",United Kingdom,Product As A Service,2. Payments Initiation,2015,Nascent,"770,000",Seed
Point,trypointbank.com,"Point is a digital bank that offers a debit card with travel and dining rewards, 2% APY on savings, and no hidden fees.",United States,Product As A Service,3. Cards,2018,Nascent,"200,000",Seed
Flaist,flaist.com,Flaist is a digital transformation platform for banks through an AI-powered framework with the end goal of elevating the customer experience.,United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2020,Nascent,"20,000",Seed
massUp,https://massup.de/,massUp offers an insurance API and transaction shop for small protection insurance to B2B partners.,Germany,Product As A Service,5. Insurance,2015,Nascent,"20,000",Seed
AAZZUR,aazzur.com,AAZZUR is an open ecosystem that allows customers to aggregate personal bank accounts and access augmented financial services from both AAZZUR and external financial technology providers.,Germany,Data Aggregators,9. Open Banking,2017,Nascent,"120,000",Seed
Abrigo,abrigo.com,"Abrigo is a technology provider of compliance, credit risk, and lending solutions that community financial institutions use to manage risk and drive growth. Abrigo's software automates processes from anti-money laundering to fraud detection to lending solutions.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",1998,Emerging,"4,600,000",Series A
Adyen,adyen.com,"Adyen provides an internet payment system for international merchants. The company helps merchants accept payments from consumers and the company focuses on maximizing payment conversion and excellent reporting. Adyen supports relevant payment methods across Europe, USA, Asia and Latin America and continues to expand.",Netherlands,Product As A Service,15. Payments Processing,2006,Mature,"266,000,000",Series C
Astra,astra.finance,Astra is a mobile app for saving money. Astra transfers cash between users' checking and savings accounts.,United States,Product As A Service,2. Payments Initiation,2016,Emerging,"1,670,000",Seed
bonify,bonify.de,"bonify provides a platform that allows people to monitor their personal credit score, as well as to view and manage their finances and achieve individualized credit offers – adapted to their personal credit score. Users can compare credit offers from different partner banks or mobile, gas and electricity charges. The bonify platform lets users check and supervise relevant data, offers tools and personalized recommendations to optimize their financial situation.",Germany,Data Aggregators,10. Other Financial Data,2015,Emerging,"5,790,000",Series E
Brankas,brank.as,"Brankas is a mobile app that lets users manage multiple bank accounts, enabling them to send and receive money.",Indonesia,Data Aggregators,9. Open Banking,2016,Nascent,"50,000",Series A
ComplySci,complysci.com,"Compliance Science, dba ComplySci, is a New York City-based provider of web-based regulatory compliance technology and services for the financial services community. Clients include leading RIA's, broker/dealers, private equity firms, hedge funds, banks, pension plans and public companies. All rely on CSI to help protect them from the reputational risk and revenue loss from non-compliant activities.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2003,Emerging,"19,470,000",Series D
DataVisor,datavisor.com,"DataVisor is a developer of fraud and financial crime detection services, utilizing unsupervised machine learning combined with Big Data architecture to identify attack campaigns before they cause any damage.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2013,Mature,"54,500,000",Series C
Digital Onboarding,digitalonboarding.com,Digital Onboarding is a Software-as-a-Service (SaaS) technology company focused on helping banking customers activate their financial services products.,United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2015,Nascent,"5,030,000",Seed
Enigma Technologies,enigma.com,"Enigma, a New York-based Data-as-a-Service company, transforms tabular data into representations of real-world relationships, providing a source of intelligence about people, places and companies. From evaluating insurance risk to combating money laundering, Enigma connects clients' internal data assets to transform their strategies and workflows.",United States,Data Aggregators,10. Other Financial Data,2011,Emerging,"129,710,000",Seed
Extend Enterprises,paywithextend.com,Extend is a mobile fintech company offering a peer-to-peer credit card access platform to businesses of all sizes.,United States,Product As A Service,3. Cards,2017,Nascent,"14,250,000",Seed
FI.SPAN,fispan.com,"FI.SPAN offers an API management platform that allows banks to quickly deploy new business banking products. The company curates (and pre-integrates) 3rd party FinTech solutions, which banks can use alone or in concert with their internal capabilities to develop products and services for business banking customers. The platform enables the creation of RESTful API endpoints allowing banks to selectively expose products and services to existing or new channels.",Canada,General BaaS Platforms,8. Developer Platforms,2016,Nascent,"4,000,000",Seed
Infinicept,infinicept.com,"Infinicept is a suite of automated services that collectively perform as an operational backbone for Payment Facilitators. Whether used as a fully integrated package, or a la carte, Infinicept makes it possible for Payment Facilitators to get up and running in weeks, not years.",United States,Product As A Service,15. Payments Processing,2015,Nascent,"680,000",Seed
JUMO Marketplace,jumo.world,"JUMO partners with banks, MNOs, and other e-commerce players to deliver financial choices to customers in emerging markets across Africa and Asia. JUMO connects people who have limited access to formal financial opportunities with services such as borrowing and saving.",South Africa,General BaaS Platforms,8. Developer Platforms,2015,Nascent,"146,650,000",Series B
Juvo,juvo.com,"Juvo's vision is to establish financial identities for the billions of people worldwide who are creditworthy, yet financially excluded. Juvo transforms subscriber consumption with immediate credit, the first step towards greater mobile financial services. In partnership with mobile network operators, Juvo's Identity Scoring technology uses data science, artificial intelligence and game mechanics to create an identity-based relationship with anonymous prepaid users, opening up access to otherwise unattainable mobile financial services.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2014,Nascent,"60,770,000",Seed
Lendio,lendio.com,"Lendio makes small business loans simple by matching qualified small business owners with active banks, credit unions, and other lending sources. Through matching technology, Lendio helps business owners identify their appropriate loan category, and then delivers step-by-step direction on how to obtain business loan approval from their most probable lender matches‹significantly streamlining the loan acquisition process.",United States,Product As A Service,1. Lending,2005,Emerging,"108,000,000",Seed
Minna Technologies,minnatechnologies.com,"Minna is a tech partner to retail banks. Minna develops a new generation of value-adding products that allows banks to secure a future business model. Minna's subscription management products help banks to boost customer engagement, reduce costs, and increase revenues. By working with Minna, banks will mitigate risk and make sure they are always one step ahead of the competition.",Sweden,Data Aggregators,9. Open Banking,2014,Nascent,"8,280,000",Seed
Mirador,miradortech.com,"Mirador Financial provides a platform that powers customer acquisition, digital loan application and digitization, intelligent product routing and pre-screening, data management, and borrower communication.",United States,Product As A Service,1. Lending,2013,Nascent,"9,210,000",Series B
Multiply,multiply.ai,"Multiply provides interactive, adaptive personalized financial plans with specific product recommendations across a user's entire financial world: savings, investments, protection and mortgages.",United Kingdom,Product As A Service,4. Wealth Management,2017,Nascent,"2,360,000",Seed
Rewire,rewire.to,Rewire develops a mobile banking platform for international cash transfers. The company's service operates by offering an online application for foreigners without a local bank account to deposit cash in one country and sends it to another.,Netherlands,Product As A Service,2. Payments Initiation,2015,Nascent,"12,000,000",Seed
Smart Lending,smartlending.mx,Smart Lending offers online mortgage lending services with digital tools to complete the entire mortgage process.,Mexico,Product As A Service,1. Lending,2017,Nascent,"80,000,000",Seed
Square,squareup.com,"Square facilitates transactions between buyers and sellers with its free credit card reader for the iPhone, iPad, and Android devices, allowing anyone to accept credit cards anywhere. Square Register serves as a full point-of-sale system for businesses to accept payments, track inventory, and share menu and location information. Pay with Square is a seamless way to pay, enabling individuals to pay with their names at local merchants, discover nearby businesses, explore menu listings, and store receipts.",United States,Product As A Service,2. Payments Initiation,2009,Mature,"716,750,000",Series E
Subaio,subaio.com,"Subaio is a software provider aimed at giving banking customers control over their online subscriptions and recurring payments, making it possible to cancel the services they no longer want within seconds.",Denmark,Product As A Service,6. Other As A Service,2016,Nascent,"1,000,000",Seed
SureCash,surecash.net,"SureCash operates a mobile banking and payment platform that allows anyone with a mobile phone to deposit cash, send money, make purchases, and pay bills.",Bangladesh,Product As A Service,2. Payments Initiation,2010,Emerging,"7,000,000",Series C
The Bancorp,thebancorp.com,"The Bancorp (NASDAQ NM: TBBK) is a financial holding company with a wholly owned subsidiary, The Bancorp Bank. The Bancorp Bank is an FDIC-insured branchless commercial bank that delivers a full array of financial services and products both directly and through more than 300 private-label affinity partner programs nationwide. The company's regional community bank division serves the needs of small and mid-size businesses and their principals in the Philadelphia-Wilmington region.",United States,Product As A Service,1. Lending,1999,Mature,,Public
ThetaRay,thetaray.com,"ThetaRay is dedicated to helping clients at large financial organizations, cyber security divisions and critical infrastructure become more resilient and seize opportunities. Its machine learning big data analytics platform delivers solutions designed to solve pressing business problems facing companies today, including security breaches, cyberattacks, fraud, money laundering, and ATM security.",Israel,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2013,Emerging,"79,500,000",Series C
Transfeera,transfeera.com,Transfeera operates a platform that allows users to transfer money between banks.,Brazil,Data Aggregators,9. Open Banking,2017,Nascent,"1,000,000",Seed
Treezor,treezor.com,"Treezor is a Paris-based banking-as-a-service provider, e-money issuer and payment institution that provides outsourcing and white label solutions for electronic payments.",France,Product As A Service,6. Other As A Service,2016,Nascent,"1,000,000",Seed
Veridium,veridiumid.com,"Veridium is a provider of end-to-end biometric authentication designed to safeguard enterprises' most critical assets. Powered by an unmatched legacy of biometrics R&D, Veridium solutions help organizations to increase security, reduce fraud and cut the costs associated with passwords and traditional multi-factor authentication solutions. Veridium has offices in Boston and New York, U.S.; Oxford and London, U.K.; and Timisoara, Romania.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2013,Emerging,"26,650,000",Seed
Vexi,vexi.mx,"Vexi is a mobile credit card, allowing users to make credit card payments through the phone. The company offers credit cards for young underbanked people.",Mexico,Product As A Service,3. Cards,2016,Nascent,"80,000",Seed
Yapily,yapily.com,Yapily is a fintech startup that offers an open banking-based API platform that allows companies of all sizes to connect with banks using their open API required by the open banking regulations.,United Kingdom,Data Aggregators,10. Other Financial Data,2017,Nascent,"18,400,000",Seed
Zaam,zaam.io,"Zaam builds a platform to simplify B2B onboarding and reduce complexity by providing a case management tool, automating KYC and KYB checks, and automating a white-label interface for data collection.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2019,Nascent,"200,000",Seed
Accuity,accuity.com,"Accuity offers a suite of solutions for payments and compliance professionals, from comprehensive data and software that manage risk and compliance, to flexible tools that optimize payments pathways.",United States,Capabilities As A Service,"7. KYC/B, Issuance, Underwriting",2018,Emerging,,Acquired
Afterpay,afterpay.com.au,"Afterpay Touch Group (ASX: APT) is a technology-driven payments company comprising the Afterpay and Touch products and businesses. Afterpay allows retailers to offer a ‘buy now, receive now, pay later’ service that does not require end-customers to enter into a traditional loan or pay any upfront fees or interest to Afterpay. Afterpay has around 4.3 million active customers and approximately 30,600 active retail merchants on-boarded.",Australia,Product As A Service,1. Lending,2017,Emerging,,Public
Alogent,alogent.com,"Alogent provides solutions that help financial institutions reduce costs, increase transaction processing efficiencies, generate revenue, mitigate fraud and optimize the customer experience from any point of presentment -- in person, online or on the go.",United States,Product As A Service,15. Payments Processing,1995,Nascent,"2,000,000",Series A
Amber Group,https://www.ambergroup.io/,"Amber Group is a diversified crypto finance firm that helps clients buy and sell cryptocurrency products, earn yield, manage risk, and access liquidity.",Hong Kong,Transaction Infrastructure,11. Crypto As A Service,2015,Emerging,"28,000,000",Seed
Anasi,https://www.withanansi.com/,Point of sale insurance platform for e-commerce businesses,England,Product As A Service,5. Insurance,2018,Nascent,"1,000,000",Seed
Ap Intego Insurance,apintego.com,AP Intego is a national insurance brokerage focused on providing small and medium-sized businesses with insurance products.,United States,Product As A Service,5. Insurance,2003,Nascent,,Undisclosed
Arcus Financial Intelligence,arcusfi.com,"Arcus Financial Intelligence helps banks reissue credit and debit cards to customers whose cards have been lost, stolen or breached. Arcus also offers a financial hub that lets customers track and manage credit cards, loans and utilities in one place.",United States,General BaaS Platforms,8. Developer Platforms,2012,Nascent,"18,860,000",Series B
Babel Finance,babel.finance,Babel Bank is a digital currency bank.,China,Transaction Infrastructure,11. Crypto As A Service,2018,Nascent,"1,000,000",Seed
Bankable,bnkbl.com,"Bankable enables and serves dominant financial institutions, corporates and FinTech entrepreneurs to bring to market highly differentiated payment solutions supported by a very strong, immediate business case. The company delivers significant new net revenues and cost-savings by leveraging its fast, scalable and secure API and white-labelled platform to deploy targeted solutions.",United Kingdom,Product As A Service,15. Payments Processing,2010,Nascent,,Undisclosed
BankiFi,https://www.bankifi.com/,BankiFi enables banks to provide business customers with the right solution at the right time throughout every stage of their journey.,United Kingdom,Data Aggregators,9. Open Banking,2018,Nascent,"1,000,000",Seed
Basiq,basiq.io,"Basiq is an aggregation platform for acquiring financial data, it provides access to financial institutions through a set of RESTful APIs.",Australia,Data Aggregators,9. Open Banking,2017,Nascent,,Series A
BBVA Open Platform,bbvaopenplatform.com,"BBVA Open Platform provides end-to-end, banking-as-a-service (BaaS) solutions, enabling organizations to deliver banking functionality directly to their end users. Open Platform’s BaaS solutions empower companies across industries to offer banking and payments services under their own brand by embedding money movement, deposit account origination (consumer and business), and debit card issuance into their existing UI.",United States,Product As A Service,2. Payments Initiation,2018,Nascent,,Public
Binance,https://www.binance.com/en,"Binance is a cryptocurrency exchange. Apart from crypto-trading, Binance offers an ICO Platform, Blockchain Media, and Blockchain Funds. The ICO platform integrated into Binance offers high-quality projects, in order to help these projects to launch their ICO. Blockchain Media spreads awareness about the blockchain technology to communities that are both familiar with blockchain and also communities that are entirely new to the concept. Blockchain Fund is responsible for selecting the most promising projects and listing their coins on the Binance exchange.",Malta,Transaction Infrastructure,11. Crypto As A Service,2017,Emerging,,Series A
Block.one,https://block.one/,"Block.one is a software publisher specializing in high performance blockchain technologies. Its first project, EOSIO, is an open-source blockchain protocol designed to enable secure data transfer and high-performance decentralized applications.",Cayman Islands,General BaaS Platforms,8. Developer Platforms,2016,Emerging,,Undisclosed
bsurance,https://www.bsurance.com/en/,"bsurance is an insurance company that specializes in B2B2C business models. Its customers include trading companies, energy suppliers, electronics retailers, and more.",Austria,Product As A Service,5. Insurance,2017,Nascent,"5,190,000",Seed
Bunq,developer.bunq.com,"Bunq is a Dutch mobile bank. Through the app, users can create personal or business bank accounts, open and close accounts within seconds, share group accounts, get real-time support anytime, as well as other features.",Netherlands,General BaaS Platforms,8. Developer Platforms,2013,Emerging,,Undisclosed
Calyx,calyxsoftware.com,"Calyx provides mortgage software solutions used by banks, credit unions, mortgage lenders, and brokerages nationwide. It is based in San Jose, California.",United States,Product As A Service,1. Lending,1991,Nascent,,Undisclosed
Cambr,cambr.com,"Cambr is a robust, secure and compliant financial platform that empowers companies to offer financial services without being a bank. Through Cambr's unified API, companies can provide users with FDIC-insured bank accounts, high yield savings accounts, branded debit-cards, bill pay, remote deposit capture and more.",United States,General BaaS Platforms,8. Developer Platforms,2015,Nascent,,Undisclosed
Certua,certua.io,Certua is a fintech platform that uses data to allow both individuals and advisers to benefit from financial planning solutions that automatically adjust as people's lives change.,United Kingdom,Product As A Service,4. Wealth Management,2016,Nascent,,Undisclosed
Chain,https://www.chain.com/,"Chain helps developers build apps by providing streamlined access to the blockchain via its Chain Nodes and API. One of its focuses is on linking blockchain data in real-time. By compiling and indexing blockchain data, other developers can ""build bitcoin apps, not block chain infrastructure."" The company also operates Albumatic, a group photo sharing app, which allows friends to join albums and add photos if nearby.",United States,General BaaS Platforms,8. Developer Platforms,2014,Nascent,"43,700,000",Seed
Cheers Paytech,walletengine.io,The Wallet Engine is a turn-key solution for businesses to natively embed self-branded wallets within any application.,Singapore,General BaaS Platforms,8. Developer Platforms,2014,Nascent,,Undisclosed
ClarionDoor,https://clariondoor.com/,"ClarionDoor delivers enterprise-class rating, quoting, and issuance solutions to P&C insurance organizations via the company's flagship product, CD Digital Distribution Suite, which includes CD Rating and CD Issuance.",United States,Product As A Service,5. Insurance,2010,Emerging,,Public
